card name,average price,market price,foil price
Greater Basilisk,"AVERAGE
$0.20","MARKET
$0.08","FOIL
$0.45"
Harbor Serpent,"AVERAGE
$0.19","MARKET
$0.06","FOIL
$0.33"
Haunting Echoes,"AVERAGE
$0.45","MARKET
$0.18","FOIL
$0.98"
Hoarding Dragon,"AVERAGE
$0.43","MARKET
$0.24","FOIL
$0.90"
Holy Strength,"AVERAGE
$0.20","MARKET
$0.07","FOIL
$0.39"
Honor of the Pure,"AVERAGE
$1.50","MARKET
$1.45","FOIL
$2.51"
Hornet Sting,"AVERAGE
$1.50","MARKET
$1.45","FOIL
$2.51"
Howling Banshee,"AVERAGE
$0.24","MARKET
$0.09","FOIL
$0.46"
Hunters' Feast,"AVERAGE
$0.24","MARKET
$0.09","FOIL
$0.46"
Ice Cage,"AVERAGE
$0.19","MARKET
$0.05","FOIL
$0.25"
Incite,"AVERAGE
$0.40","MARKET
$0.25",None
Infantry Veteran,"AVERAGE
$0.19","MARKET
$0.04","FOIL
$0.28"
Inferno Titan,"AVERAGE
$1.58","MARKET
$1.72","FOIL
$6.41"
Inspired Charge,"AVERAGE
$1.58","MARKET
$0.01","FOIL
$0.25"
Island,"AVERAGE
$800.97","MARKET
$731.91",None
Jace Beleren,"AVERAGE
$3.74","MARKET
$3.63","FOIL
$12.96"
Jace's Erasure,"AVERAGE
$0.27","MARKET
$0.22","FOIL
$1.09"
Jace's Ingenuity,"AVERAGE
$0.25","MARKET
$0.10","FOIL
$0.57"
Jinxed Idol,"AVERAGE
$0.50","MARKET
$0.41","FOIL
$0.98"
Juggernaut,"AVERAGE
$0.50","MARKET
$0.41","FOIL
$0.98"
Knight Exemplar,"AVERAGE
$0.28","MARKET
$0.19","FOIL
$1.48"
Kraken's Eye,"AVERAGE
$0.24","MARKET
$0.14","FOIL
$0.48"
Lava Axe,"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.28"
Leyline of Anticipation,"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.28"
Leyline of Punishment,"AVERAGE
$2.90","MARKET
$2.93","FOIL
$8.58"
Leyline of Sanctity,"AVERAGE
$2.90","MARKET
$2.93","FOIL
$8.58"
Leyline of the Void,"AVERAGE
$4.14","MARKET
$4.03","FOIL
$4.83"
Leyline of Vitality,"AVERAGE
$7.02","MARKET
$6.37","FOIL
$11.00"
Lightning Bolt,"AVERAGE
$2.48","MARKET
$2.48","FOIL
$8.99"
Liliana Vess,"AVERAGE
$9.26","MARKET
$9.46","FOIL
$14.92"
Liliana's Caress,"AVERAGE
$9.26","MARKET
$9.46","FOIL
$14.92"
Liliana's Specter,"AVERAGE
$7.38","MARKET
$0.27","FOIL
$1.86"
Llanowar Elves,"AVERAGE
$1.08","MARKET
$1.24",None
Magma Phoenix,"AVERAGE
$0.39","MARKET
$0.18","FOIL
$0.72"
Mana Leak,"AVERAGE
$0.33","MARKET
$0.23","FOIL
$2.38"
Manic Vandal,"AVERAGE
$0.21","MARKET
$0.09","FOIL
$0.57"
Maritime Guard,"AVERAGE
$0.19","MARKET
$0.10","FOIL
$0.25"
Mass Polymorph,"AVERAGE
$0.53","MARKET
$0.52","FOIL
$1.20"
Merfolk Sovereign,"AVERAGE
$0.56","MARKET
$0.42","FOIL
$1.92"
Merfolk Spy,"AVERAGE
$0.20","MARKET
$0.09","FOIL
$0.29"
Mighty Leap,"AVERAGE
$0.20","MARKET
$0.09","FOIL
$0.29"
Mind Control,"AVERAGE
$0.25","MARKET
$0.14","FOIL
$0.50"
Mind Rot,"AVERAGE
$0.16","MARKET
$0.01","FOIL
$0.25"
Mitotic Slime,"AVERAGE
$0.16","MARKET
$0.01","FOIL
$0.25"
Mountain,"AVERAGE
$2.51","MARKET
$2.61",None
Mystifying Maze,"AVERAGE
$2.51","MARKET
$2.61",None
Nantuko Shade,"AVERAGE
$0.95","MARKET
$0.72","FOIL
$4.59"
Naturalize,"AVERAGE
$0.20","MARKET
$0.06","FOIL
$0.32"
Nature's Spiral,"AVERAGE
$0.24","MARKET
$0.06","FOIL
$0.42"
Necrotic Plague,"AVERAGE
$0.39","MARKET
$0.18","FOIL
$0.89"
Negate,"AVERAGE
$0.25","MARKET
$0.09","FOIL
$0.55"
Nether Horror,"AVERAGE
$0.18","MARKET
$0.02","FOIL
$0.27"
Nightwing Shade,"AVERAGE
$0.17","MARKET
$0.02","FOIL
$0.29"
Obstinate Baloth,"AVERAGE
$0.95","MARKET
$0.79","FOIL
$4.58"
Ornithopter,"AVERAGE
$0.44","MARKET
$0.30","FOIL
$6.75"
Overwhelming Stampede,"AVERAGE
$0.44","MARKET
$0.30","FOIL
$6.75"
Pacifism,"AVERAGE
$0.17","MARKET
$0.06","FOIL
$0.30"
Palace Guard,"AVERAGE
$0.20","MARKET
$0.18","FOIL
$0.39"
Phantom Beast,"AVERAGE
$0.20","MARKET
$0.18","FOIL
$0.39"
Phylactery Lich,"AVERAGE
$0.19","MARKET
$0.05","FOIL
$0.34"
Plains,None,"MARKET
$3.90","FOIL
$4.00"
Platinum Angel,"AVERAGE
$12.77","MARKET
$10.54","FOIL
$29.97"
Plummet,"AVERAGE
$12.77","MARKET
$10.54","FOIL
$29.97"
Preordain,"AVERAGE
$0.16","MARKET
$0.02","FOIL
$0.25"
Primal Cocoon,"AVERAGE
$1.49","MARKET
$0.93","FOIL
$58.99"
Primeval Titan,"AVERAGE
$0.20","MARKET
$0.08","FOIL
$0.25"
Prized Unicorn,"AVERAGE
$0.25","MARKET
$0.12","FOIL
$0.50"
Prodigal Pyromancer,"AVERAGE
$0.20","MARKET
$0.10","FOIL
$0.37"
Protean Hydra,"AVERAGE
$5.00","MARKET
$6.23","FOIL
$9.41"
Pyretic Ritual,"AVERAGE
$5.00","MARKET
$6.23","FOIL
$9.41"
Pyroclasm,"AVERAGE
$0.41","MARKET
$0.25","FOIL
$3.00"
Quag Sickness,"AVERAGE
$0.41","MARKET
$0.25","FOIL
$3.00"
Reassembling Skeleton,"AVERAGE
$0.19","MARKET
$0.05","FOIL
$0.30"
Redirect,"AVERAGE
$0.35","MARKET
$0.29","FOIL
$6.24"
Relentless Rats,"AVERAGE
$2.22","MARKET
$2.33","FOIL
$3.99"
Reverberate,"AVERAGE
$2.22","MARKET
$2.33","FOIL
$3.99"
Rise from the Grave,"AVERAGE
$0.23","MARKET
$0.07","FOIL
$0.35"
Roc Egg,"AVERAGE
$0.23","MARKET
$0.07","FOIL
$0.35"
Rootbound Crag,"AVERAGE
$3.49","MARKET
$3.03","FOIL
$5.12"
Rotting Legion,"AVERAGE
$0.19","MARKET
$0.06","FOIL
$0.26"
Royal Assassin,"AVERAGE
$0.86","MARKET
$0.76","FOIL
$1.96"
Runeclaw Bear,"AVERAGE
$0.21","MARKET
$0.09","FOIL
$0.31"
Sacred Wolf,"AVERAGE
$0.23","MARKET
$0.11","FOIL
$0.45"
Safe Passage,"AVERAGE
$0.20","MARKET
$0.09","FOIL
$0.32"
Scroll Thief,"AVERAGE
$0.19","MARKET
$0.06","FOIL
$0.34"
Serra Angel,"AVERAGE
$0.30","MARKET
$0.32",None
Serra Ascendant,"AVERAGE
$22.24","MARKET
$22.23","FOIL
$59.98"
Shiv's Embrace,"AVERAGE
$0.24","MARKET
$0.06","FOIL
$0.33"
Siege Mastodon,"AVERAGE
$0.19","MARKET
$0.04","FOIL
$0.29"
Sign in Blood,"AVERAGE
$0.29","MARKET
$0.24","FOIL
$0.98"
Silence,"AVERAGE
$0.47","MARKET
$0.32","FOIL
$1.92"
Silvercoat Lion,"AVERAGE
$0.20","MARKET
$0.05","FOIL
$0.43"
Sleep,"AVERAGE
$1.00","MARKET
$0.85","FOIL
$20.60"
Solemn Offering,"AVERAGE
$0.20","MARKET
$0.04","FOIL
$0.30"
Sorcerer's Strongbox,"AVERAGE
$0.20","MARKET
$0.04","FOIL
$0.45"
Spined Wurm,"AVERAGE
$0.20","MARKET
$0.05","FOIL
$0.29"
Squadron Hawk,"AVERAGE
$0.29","MARKET
$0.20","FOIL
$1.78"
Stabbing Pain,"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.28"
Steel Overseer,"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.28"
Stone Golem,"AVERAGE
$1.79","MARKET
$1.31","FOIL
$3.00"
Stormfront Pegasus,"AVERAGE
$0.22","MARKET
$0.08","FOIL
$0.42"
Stormtide Leviathan,"AVERAGE
$0.50","MARKET
$0.41","FOIL
$2.66"
Sun Titan,"AVERAGE
$0.50","MARKET
$0.41","FOIL
$2.66"
Sunpetal Grove,"AVERAGE
$3.77","MARKET
$3.59","FOIL
$7.50"
Swamp,"AVERAGE
$0.22","MARKET
$0.10",None
Sword of Vengeance,"AVERAGE
$0.22","MARKET
$0.10",None
Sylvan Ranger,"AVERAGE
$1.16","MARKET
$1.21","FOIL
$8.86"
Temple Bell,None,"MARKET
$2.14","FOIL
$2.41"
Terramorphic Expanse,"AVERAGE
$0.31","MARKET
$0.24","FOIL
$2.57"
Thunder Strike,"AVERAGE
$0.31","MARKET
$0.02","FOIL
$0.31"
Time Reversal,"AVERAGE
$3.99","MARKET
$6.03","FOIL
$8.24"
Tireless Missionaries,"AVERAGE
$3.99","MARKET
$6.03","FOIL
$8.24"
Tome Scour,"AVERAGE
$0.26","MARKET
$0.22","FOIL
$1.63"
Traumatize,"AVERAGE
$2.87","MARKET
$2.41","FOIL
$4.99"
Triskelion,"AVERAGE
$2.87","MARKET
$2.41","FOIL
$4.99"
Unholy Strength,"AVERAGE
$0.20","MARKET
$0.09","FOIL
$0.52"
Unsummon,"AVERAGE
$0.25","MARKET
$0.17",None
Vengeful Archon,"AVERAGE
$0.39","MARKET
$0.20","FOIL
$0.83"
Viscera Seer,"AVERAGE
$0.39","MARKET
$0.20","FOIL
$0.83"
Volcanic Strength,"AVERAGE
$0.75","MARKET
$0.28","FOIL
$9.28"
Voltaic Key,"AVERAGE
$0.19","MARKET
$0.08","FOIL
$0.32"
Vulshok Berserker,"AVERAGE
$1.32","MARKET
$1.35","FOIL
$10.50"
Wall of Frost,"AVERAGE
$0.30","MARKET
$0.23","FOIL
$0.91"
Wall of Vines,"AVERAGE
$0.30","MARKET
$0.23","FOIL
$0.91"
War Priest of Thune,"AVERAGE
$0.19","MARKET
$0.12","FOIL
$0.47"
Warlord's Axe,"AVERAGE
$0.25","MARKET
$0.12","FOIL
$0.47"
Water Servant,"AVERAGE
$0.24","MARKET
$0.10","FOIL
$0.38"
Whispersilk Cloak,"AVERAGE
$2.45","MARKET
$2.48","FOIL
$9.99"
White Knight,"AVERAGE
$0.25","MARKET
$0.14","FOIL
$0.67"
Wild Evocation,"AVERAGE
$0.55","MARKET
$0.50","FOIL
$1.79"
Wild Griffin,"AVERAGE
$0.20","MARKET
$0.03","FOIL
$0.30"
Wurm's Tooth,"AVERAGE
$0.24","MARKET
$0.08","FOIL
$0.33"
Yavimaya Wurm,"AVERAGE
$0.19","MARKET
$0.04","FOIL
$0.29"
Acidic Slime,"AVERAGE
$0.29","MARKET
$0.20","FOIL
$1.20"
Act of Treason,"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.25"
Adaptive Automaton,"AVERAGE
$3.80","MARKET
$3.58","FOIL
$7.18"
Aegis Angel,"AVERAGE
$0.47","MARKET
$0.39",None
Æther Adept (Aether Adept),"AVERAGE
$0.24","MARKET
$0.17","FOIL
$1.17"
Alabaster Mage,"AVERAGE
$0.25","MARKET
$0.08","FOIL
$0.38"
Alluring Siren,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.35"
Amphin Cutthroat,"AVERAGE
$0.20","MARKET
$0.05","FOIL
$0.27"
Angelic Destiny,"AVERAGE
$0.20","MARKET
$0.05","FOIL
$0.27"
Angel's Feather,"AVERAGE
$0.25","MARKET
$0.10","FOIL
$0.35"
Angel's Mercy,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.33"
Arachnus Spinner,"AVERAGE
$0.24","MARKET
$0.12","FOIL
$0.33"
Arachnus Web,"AVERAGE
$0.40","MARKET
$0.13","FOIL
$0.40"
Arbalest Elite,"AVERAGE
$0.25","MARKET
$0.14","FOIL
$0.36"
Archon of Justice,"AVERAGE
$0.54","MARKET
$0.58","FOIL
$1.66"
Armored Warhorse,"AVERAGE
$0.23","MARKET
$0.13","FOIL
$0.33"
Assault Griffin,"AVERAGE
$0.20","MARKET
$0.06","FOIL
$0.26"
Auramancer,"AVERAGE
$0.73","MARKET
$0.78","FOIL
$5.21"
Autumn's Veil,"AVERAGE
$0.50","MARKET
$0.45","FOIL
$10.00"
Aven Fleetwing,"AVERAGE
$0.50","MARKET
$0.45","FOIL
$10.00"
Azure Mage,"AVERAGE
$0.22","MARKET
$0.10","FOIL
$0.33"
Belltower Sphinx,"AVERAGE
$0.24","MARKET
$0.11","FOIL
$0.58"
Benalish Veteran,"AVERAGE
$0.25","MARKET
$0.10","FOIL
$0.46"
Birds of Paradise,"AVERAGE
$12.00","MARKET
$11.75","FOIL
$18.89"
Blood Ogre,"AVERAGE
$12.00","MARKET
$11.75","FOIL
$18.89"
Blood Seeker,"AVERAGE
$0.19","MARKET
$0.02","FOIL
$0.54"
Bloodlord of Vaasgoth,"AVERAGE
$0.25","MARKET
$0.19","FOIL
$0.54"
Bloodrage Vampire,"AVERAGE
$1.40","MARKET
$1.39","FOIL
$2.22"
Bonebreaker Giant,"AVERAGE
$0.20","MARKET
$0.07","FOIL
$0.30"
Bountiful Harvest,"AVERAGE
$0.19","MARKET
$0.04","FOIL
$0.30"
Brindle Boar,"AVERAGE
$0.20","MARKET
$0.04","FOIL
$0.30"
Brink of Disaster,"AVERAGE
$0.19","MARKET
$0.14","FOIL
$0.27"
Buried Ruin,"AVERAGE
$0.19","MARKET
$0.14","FOIL
$0.27"
Call to the Grave,"AVERAGE
$1.03","MARKET
$0.93","FOIL
$14.13"
Cancel,"AVERAGE
$0.20","MARKET
$0.04","FOIL
$0.28"
Carnage Wurm,"AVERAGE
$0.20","MARKET
$0.04","FOIL
$0.28"
Celestial Purge,"AVERAGE
$0.25","MARKET
$0.19","FOIL
$0.83"
Cemetery Reaper,"AVERAGE
$4.60","MARKET
$5.28","FOIL
$7.97"
"Chandra, the Firebrand","AVERAGE
$4.60","MARKET
$5.28","FOIL
$7.97"
Chandra's Outrage,"AVERAGE
$0.18","MARKET
$0.02","FOIL
$0.25"
Chandra's Phoenix,"AVERAGE
$0.18","MARKET
$0.02","FOIL
$0.25"
Chasm Drake,"AVERAGE
$0.44","MARKET
$0.20","FOIL
$0.71"
Child of Night,"AVERAGE
$0.20","MARKET
$0.02","FOIL
$0.25"
Circle of Flame,"AVERAGE
$0.25","MARKET
$0.14","FOIL
$0.48"
Combust,"AVERAGE
$0.30","MARKET
$0.19",None
Consume Spirit,"AVERAGE
$0.25","MARKET
$0.15","FOIL
$0.47"
Coral Merfolk,"AVERAGE
$0.35","MARKET
$0.28",None
Crimson Mage,"AVERAGE
$0.35","MARKET
$0.28",None
Crown of Empires,"AVERAGE
$0.25","MARKET
$0.17","FOIL
$0.70"
Crumbling Colossus,"AVERAGE
$0.25","MARKET
$0.17","FOIL
$0.34"
Cudgel Troll,"AVERAGE
$0.24","MARKET
$0.05","FOIL
$0.38"
Dark Favor,"AVERAGE
$0.24","MARKET
$0.05","FOIL
$0.38"
Day of Judgment,"AVERAGE
$2.72","MARKET
$2.55","FOIL
$3.96"
Deathmark,"AVERAGE
$0.24","MARKET
$0.13","FOIL
$0.44"
Demon's Horn,"AVERAGE
$0.25","MARKET
$0.12","FOIL
$0.44"
Demystify,"AVERAGE
$0.25","MARKET
$0.12","FOIL
$0.44"
Devouring Swarm,"AVERAGE
$0.21","MARKET
$0.14","FOIL
$0.33"
Diabolic Tutor,"AVERAGE
$1.03","MARKET
$0.88","FOIL
$1.43"
Disentomb,"AVERAGE
$0.19","MARKET
$0.10","FOIL
$0.33"
Distress,"AVERAGE
$0.24","MARKET
$0.15","FOIL
$0.70"
Divination,"AVERAGE
$0.25","MARKET
$0.13","FOIL
$0.45"
Divine Favor,"AVERAGE
$0.25","MARKET
$0.13","FOIL
$0.45"
Djinn of Wishes,"AVERAGE
$0.30","MARKET
$0.10","FOIL
$0.60"
Doom Blade,"AVERAGE
$0.25","MARKET
$0.18","FOIL
$1.01"
Doubling Chant,"AVERAGE
$0.25","MARKET
$0.18","FOIL
$1.01"
Dragon's Claw,"AVERAGE
$0.35","MARKET
$0.28","FOIL
$1.59"
Dragonskull Summit,"AVERAGE
$4.17","MARKET
$4.34","FOIL
$5.76"
Drifting Shade,"AVERAGE
$4.17","MARKET
$4.34","FOIL
$5.76"
Drowned Catacomb,"AVERAGE
$6.99","MARKET
$7.02","FOIL
$12.93"
Druidic Satchel,"AVERAGE
$6.99","MARKET
$7.02","FOIL
$12.93"
Dungrove Elder,"AVERAGE
$0.52","MARKET
$0.47","FOIL
$1.35"
Duskhunter Bat,"AVERAGE
$0.20","MARKET
$0.02","FOIL
$0.25"
Elite Vanguard,"AVERAGE
$0.25","MARKET
$0.07","FOIL
$0.50"
Elixir of Immortality,"AVERAGE
$0.25","MARKET
$0.55","FOIL
$4.11"
Elvish Archdruid,"AVERAGE
$1.80","MARKET
$1.56","FOIL
$6.19"
Fiery Hellhound,"AVERAGE
$0.18","MARKET
$0.05","FOIL
$0.32"
Fireball,"AVERAGE
$0.22","MARKET
$0.16",None
Firebreathing,"AVERAGE
$0.21","MARKET
$0.13","FOIL
$0.45"
Flameblast Dragon,"AVERAGE
$0.50","MARKET
$0.46","FOIL
$0.74"
Flashfreeze,"AVERAGE
$0.23","MARKET
$0.15","FOIL
$0.48"
Flight,"AVERAGE
$0.23","MARKET
$0.15","FOIL
$0.48"
Fling,None,"MARKET
$1.00","FOIL
$1.00"
Fog,"AVERAGE
$1.54","MARKET
$1.39",None
Forest,"AVERAGE
$1.64","MARKET
$1.33",None
Frost Breath,"AVERAGE
$1.64","MARKET
$1.33",None
Frost Titan,"AVERAGE
$0.99","MARKET
$0.83","FOIL
$2.22"
Furyborn Hellkite,"AVERAGE
$0.99","MARKET
$0.83","FOIL
$2.22"
"Garruk, Primal Hunter","AVERAGE
$2.99","MARKET
$2.64","FOIL
$13.99"
Garruk's Companion,"AVERAGE
$0.21","MARKET
$0.10","FOIL
$0.66"
Garruk's Horde,"AVERAGE
$0.43","MARKET
$0.21","FOIL
$0.72"
Giant Spider,"AVERAGE
$0.19","MARKET
$0.01","FOIL
$0.29"
Gideon Jura,"AVERAGE
$1.49","MARKET
$1.04","FOIL
$4.99"
Gideon's Avenger,"AVERAGE
$1.49","MARKET
$1.04","FOIL
$4.99"
Gideon's Lawkeeper,"AVERAGE
$0.57","MARKET
$0.47","FOIL
$1.19"
Glacial Fortress,"AVERAGE
$5.05","MARKET
$5.23","FOIL
$10.03"
Gladecover Scout,"AVERAGE
$5.05","MARKET
$5.23","FOIL
$10.03"
Goblin Arsonist,"AVERAGE
$0.19","MARKET
$0.05","FOIL
$0.46"
Goblin Bangchuckers,"AVERAGE
$0.19","MARKET
$0.15","FOIL
$0.44"
Goblin Chieftain,"AVERAGE
$3.29","MARKET
$2.91","FOIL
$7.36"
Goblin Fireslinger,"AVERAGE
$0.24","MARKET
$0.16","FOIL
$0.50"
Goblin Grenade,"AVERAGE
$0.95","MARKET
$0.77","FOIL
$4.16"
Goblin Piker,"AVERAGE
$0.19","MARKET
$0.04","FOIL
$0.26"
Goblin Tunneler,"AVERAGE
$0.19","MARKET
$0.07","FOIL
$0.30"
Goblin War Paint,"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.28"
Gorehorn Minotaurs,"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.28"
Grand Abolisher,"AVERAGE
$29.92","MARKET
$28.07","FOIL
$107.95"
Grave Titan,"AVERAGE
$11.43","MARKET
$12.46","FOIL
$19.51"
Gravedigger,"AVERAGE
$0.20","MARKET
$0.08","FOIL
$0.45"
Greater Basilisk,"AVERAGE
$0.20","MARKET
$0.04","FOIL
$0.26"
Greatsword,"AVERAGE
$0.20","MARKET
$0.04","FOIL
$0.26"
Griffin Rider,"AVERAGE
$1.10","MARKET
$0.77","FOIL
$1.52"
Griffin Sentinel,"AVERAGE
$0.18","MARKET
$0.01","FOIL
$0.29"
Grim Lavamancer,"AVERAGE
$0.18","MARKET
$0.01","FOIL
$0.29"
Guardians' Pledge,"AVERAGE
$0.24","MARKET
$0.14","FOIL
$0.39"
Harbor Serpent,"AVERAGE
$0.19","MARKET
$0.06","FOIL
$0.33"
Hideous Visage,"AVERAGE
$0.19","MARKET
$0.06","FOIL
$0.33"
Honor of the Pure,"AVERAGE
$1.50","MARKET
$1.45","FOIL
$2.51"
Hunter's Insight,"AVERAGE
$0.52","MARKET
$0.24","FOIL
$6.21"
Ice Cage,"AVERAGE
$0.19","MARKET
$0.05","FOIL
$0.25"
Incinerate,"AVERAGE
$0.19","MARKET
$0.05","FOIL
$0.25"
Inferno Titan,"AVERAGE
$1.58","MARKET
$1.72","FOIL
$6.41"
Island,"AVERAGE
$800.97","MARKET
$731.91",None
"Jace, Memory Adept","AVERAGE
$800.97","MARKET
$731.91",None
Jace's Archivist,"AVERAGE
$6.75","MARKET
$7.03","FOIL
$12.11"
Jace's Erasure,"AVERAGE
$0.27","MARKET
$0.22","FOIL
$1.09"
Jade Mage,"AVERAGE
$0.27","MARKET
$0.22","FOIL
$0.95"
Kite Shield,"AVERAGE
$0.30","MARKET
$0.15","FOIL
$0.88"
Kraken's Eye,"AVERAGE
$0.24","MARKET
$0.14","FOIL
$0.48"
Lava Axe,"AVERAGE
$0.19","MARKET
$0.03","FOIL
$0.28"
Levitation,"AVERAGE
$0.25","MARKET
$0.18","FOIL
$0.43"
Lifelink,"AVERAGE
$5.36","MARKET
$4.71",None
Lightning Elemental,"AVERAGE
$0.19","MARKET
$0.09","FOIL
$0.44"
Llanowar Elves,"AVERAGE
$1.08","MARKET
$1.24",None
Lord of the Unreal,"AVERAGE
$1.08","MARKET
$1.24","FOIL
$2.89"
Lure,"AVERAGE
$0.84","MARKET
$0.69","FOIL
$2.89"
Lurking Crocodile,"AVERAGE
$0.25","MARKET
$0.20",None
Mana Leak,"AVERAGE
$0.33","MARKET
$0.23","FOIL
$2.38"
Manabarbs,"AVERAGE
$0.72","MARKET
$0.70","FOIL
$2.27"
Manalith,"AVERAGE
$0.25","MARKET
$0.07",None
Manic Vandal,"AVERAGE
$0.21","MARKET
$0.09","FOIL
$0.57"
Master Thief,"AVERAGE
$0.21","MARKET
$0.09","FOIL
$0.50"
Merfolk Looter,"AVERAGE
$0.22","MARKET
$0.13","FOIL
$0.95"
Merfolk Mesmerist,"AVERAGE
$0.22","MARKET
$0.13","FOIL
$0.95"
Mesa Enchantress,"AVERAGE
$1.97","MARKET
$2.01","FOIL
$2.00"
Mighty Leap,"AVERAGE
$0.20","MARKET
$0.08","FOIL
$0.29"
Mind Control,"AVERAGE
$0.25","MARKET
$0.14","FOIL
$0.50"
Mind Rot,"AVERAGE
$0.16","MARKET
$0.01","FOIL
$0.25"
Mind Unbound,"AVERAGE
$0.16","MARKET
$0.01","FOIL
$0.25"
Monomania,"AVERAGE
$0.39","MARKET
$0.22","FOIL
$0.79"
Mountain,"AVERAGE
$2.51","MARKET
$2.61",None
Naturalize,"AVERAGE
$0.20","MARKET
$0.06","FOIL
$0.32"
Negate,"AVERAGE
$0.25","MARKET
$0.09","FOIL
$0.55"
Oblivion Ring,"AVERAGE
$0.41","MARKET
$0.28","FOIL
$1.13"
Onyx Mage,"AVERAGE
$0.25","MARKET
$0.16","FOIL
$0.49"
Overrun,"AVERAGE
$0.35","MARKET
$0.30","FOIL
$0.75"
Pacifism,"AVERAGE
$0.17","MARKET
$0.06","FOIL
$0.30"
Pentavus,"AVERAGE
$0.17","MARKET
$0.06","FOIL
$0.81"
Peregrine Griffin,"AVERAGE
$0.20","MARKET
$0.03","FOIL
$0.33"
Personal Sanctuary,"AVERAGE
$0.20","MARKET
$0.03","FOIL
$0.33"
Phantasmal Bear,"AVERAGE
$0.44","MARKET
$0.27","FOIL
$0.94"
Phantasmal Dragon,"AVERAGE
$0.25","MARKET
$0.14","FOIL
$0.84"
Phantasmal Image,"AVERAGE
$17.90","MARKET
$15.96","FOIL
$63.78"
Plains,None,"MARKET
$3.90","FOIL
$4.00"
Plummet,"AVERAGE
$0.16","MARKET
$0.02","FOIL
$0.25"
Ponder,"AVERAGE
$0.20","MARKET
$0.03","FOIL
$0.43"
Pride Guardian,"AVERAGE
$0.20","MARKET
$0.03","FOIL
$0.43"
Primeval Titan,"AVERAGE
$9.47","MARKET
$9.52","FOIL
$16.00"
Primordial Hydra,"AVERAGE
$9.47","MARKET
$9.52","FOIL
$16.00"
Quicksilver Amulet,"AVERAGE
$19.77","MARKET
$18.97","FOIL
$52.78"
Rampant Growth,"AVERAGE
$0.91","MARKET
$0.63","FOIL
$4.48"
Reassembling Skeleton,"AVERAGE
$0.35","MARKET
$0.29","FOIL
$6.24"
Reclaim,"AVERAGE
$0.77","MARKET
$0.76",None
Redirect,"AVERAGE
$0.50","MARKET
$0.35","FOIL
$0.99"
Reverberate,"AVERAGE
$4.89","MARKET
$4.51","FOIL
$6.99"
Rites of Flourishing,"AVERAGE
$1.04","MARKET
$1.02","FOIL
$6.95"
Roc Egg,"AVERAGE
$0.24","MARKET
$0.19","FOIL
$0.46"
Rootbound Crag,"AVERAGE
$3.49","MARKET
$3.03","FOIL
$5.12"
Royal Assassin,"AVERAGE
$0.86","MARKET
$0.76","FOIL
$1.96"
Runeclaw Bear,"AVERAGE
$0.21","MARKET
$0.09","FOIL
$0.31"
Rune-Scarred Demon,"AVERAGE
$0.21","MARKET
$0.09","FOIL
$0.31"
Rusted Sentinel,"AVERAGE
$0.23","MARKET
$0.02","FOIL
$0.35"
Sacred Wolf,"AVERAGE
$0.23","MARKET
$0.11","FOIL
$0.45"
Scepter of Empires,"AVERAGE
$0.23","MARKET
$0.11","FOIL
$0.45"
Scrambleverse,"AVERAGE
$0.29","MARKET
$0.22","FOIL
$0.86"
Sengir Vampire,"AVERAGE
$0.51","MARKET
$0.48","FOIL
$1.26"
Serra Angel,"AVERAGE
$0.30","MARKET
$0.32",None
Shock,"AVERAGE
$0.30","MARKET
$0.32",None
Siege Mastodon,"AVERAGE
$0.19","MARKET
$0.04","FOIL
$0.29"
Skinshifter,"AVERAGE
$0.19","MARKET
$0.04","FOIL
$0.29"
Skywinder Drake,"AVERAGE
$0.57","MARKET
$0.50","FOIL
$1.91"
Slaughter Cry,"AVERAGE
$0.20","MARKET
$0.03","FOIL
$0.25"
Smallpox,"AVERAGE
$0.44","MARKET
$0.25","FOIL
$4.64"
Solemn Simulacrum,"AVERAGE
$1.66","MARKET
$1.63","FOIL
$2.14"
Sorin Markov,"AVERAGE
$1.66","MARKET
$1.63","FOIL
$2.14"
Sorin's Thirst,"AVERAGE
$13.53","MARKET
$10.77","FOIL
$31.33"
Sorin's Vengeance,"AVERAGE
$0.99","MARKET
$0.88","FOIL
$2.99"
Sphinx of Uthuun,"AVERAGE
$0.99","MARKET
$0.88","FOIL
$2.99"
Spirit Mantle,"AVERAGE
$0.31","MARKET
$0.15","FOIL
$0.54"
Stampeding Rhino,"AVERAGE
$0.20","MARKET
$0.14","FOIL
$0.29"
Stave Off,"AVERAGE
$0.20","MARKET
$0.14","FOIL
$0.29"
Stingerfling Spider,"AVERAGE
$0.25","MARKET
$0.09","FOIL
$0.40"
Stonehorn Dignitary,"AVERAGE
$0.25","MARKET
$0.09","FOIL
$0.40"
Stormblood Berserker,"AVERAGE
$0.75","MARKET
$0.56","FOIL
$7.59"
Stormfront Pegasus,"AVERAGE
$0.22","MARKET
$0.08","FOIL
$0.42"
